title_kor,year,genre_list,play_time,director,justwatch_rating,imdb_rating,imdb_rating_average,imdb_vote_count,synopsis,poster_src
히든 피겨스,-2016,"['드라마 , 역사']",2시간 7분,Theodore Melfi,88%,7.9 (218k),7.9,2180,"천부적인 수학 능력을 가진 캐서린 존슨, NASA 흑인 여성들의 리더이자 프로그래머 도로시 본 , 흑인 여성 최초의 NASA 엔지니어를 꿈 꾸는 메리 잭슨. 미국과 러시아의 치열한 우주 개발 경쟁이 벌어지고 있던  시절, 천부적인 두뇌와 재능을 가진 그녀들이 NASA 최초의 우주궤도 비행 프로젝트에 선발된다. 하지만 유색인종 전용 화장실을 사용해야 하고, 중요한 회의에 참석할 수 없으며, 공용 커피 포트조차 용납되지 않는 따가운 시선에 점점 지쳐 간다. 한편 프로젝트는 난항을 겪게 되고, 해결 방법은 비전을 제시할 수 있는 새로운 수학 공식을 찾아내는 것뿐인데...",https://images.justwatch.com/poster/8539890/s592
쥬만지 : 새로운 세계,-2017,"['판타지 , 액션 , 코미디']",1시간 59분,Jake Kasdan,77%,6.9 (357k),6.9,3570,"학교 창고를 청소하다가 낡은 ‘쥬만지’ 비디오 게임을 발견한 네 명의 아이들. 게임 버튼을 누르는 순간 화면 속으로 빨려 들어가버렸다! 거대한 몸집의 고고학자 닥터 브레이브스톤(드웨인 존슨)으로 변한 공부벌레 스펜서, 슈퍼 여전사 루비 라운드하우스(카렌 길런)가 된 운동신경 제로 마사, 저질체력의 동물학 전문가 무스 핀바(케빈 하트)가 된 예비 풋볼선수 프리지, 중년의 지도 연구학 교수 셸리 오베론(잭 블랙)으로 변해버린 SNS 중독 퀸카 베서니까지. 이들은 자신의 아바타가 가진 능력으로 게임 속 세계를 구하는 미션을 수행하고 현실로 돌아가야만 하는데….",https://images.justwatch.com/poster/38904525/s592
퍼펙트 스톰,-2000,"['스릴러 , 드라마 , 다큐멘터리 , 액션']",2시간 10분,Wolfgang Petersen,71%,6.4 (163k),6.4,1630,"또 다시 빈배로 돌아갈 수 없는 안드레아 게일호의 선장 빌리 타인(조지 클루니), 새 삶을 위해 목돈이 필요한 바비(마크 윌버그) 등 삶의 막다른 골목에 이른 어부들은 안드레아 게일호를 타고 먼 바다로 나서는데, 그때부터 바다 위에는 마치 인간의 오만을 용서하지 않는다는 듯 엄청난 파괴력을 지닌 폭풍 그레이스가 몰려오기 시작하고...",https://images.justwatch.com/poster/8712158/s592
스파이더맨 2,-2004,"['판타지 , 액션 , 드라마 , SF']",2시간 7분,Sam Raimi,82%,7.4 (619k),7.4,6190,"우연한 사고로 특별한 능력을 갖게된 피터 파커는 대학생과 슈퍼 히어로의 신분을 오가며 짜릿한 생활을 하지만 사랑 하는 메리 제인에게조차 자신의 마음을 열 수 없는 현실은 그들을 안타까운 로맨스로 이끈다. 한편 스파이더맨에게 아버지를 잃고 복수심에 불타는 피터의 친구 해리가 연구 중 폭발로 기계촉수와 엄청난 파워를 갖게된 닥터 옥토퍼스에게 뿌리치지 못할 제안을 하면서 도시 전체가 걷잡을 수 없는 위험에 휘말리게 되고, 스파이더맨의 운명은 점차 예측불가능한 상황으로 전개되는데...",https://images.justwatch.com/poster/112800398/s592
The House,-2022,"['애니메이션 , 드라마 , 코미디']",1시간 37분,"Marc James Roels ,  Paloma Baeza ,  Emma De Swaef ,  Niki Lindroth von Bahr",77%,7,7,1,"어느 가난한 가족, 불안에 시달리는 개발업자, 그리고 화가 잔뜩 난 집주인까지. 미스터리한 집에서 여러 세대에 걸쳐 일어나는 사건을 다룬 블랙 코미디 애니메이션.",https://images.justwatch.com/poster/257597010/s592
문신을 한 신부님,-2019,"['드라마 , Made in Europe']",1시간 56분,Jan Komasa,86%,7.7 (17k),7.7,170,"신부를 꿈꾸지만 신부가 될 수 없는 20살 청년 ‘다니엘’. 소년원을 출소하게 된 그는 존경하는 신부 ‘토마시’의 도움으로 어느 마을의 목공소에 일자리를 얻게 된다. 그러나 뜻밖에도 소년원에서 훔친 사제복으로 인해 그는 마을 성당의 주임 신부 자리를 대행하게 되고, 예상을 뛰어넘는 그의 파격적인 행동은 큰 사고를 겪고 트라우마에 시달리고 있던 마을 사람들에게 믿음을 주게 된다. 그러나 ‘다니엘’은 믿음 뒤에 숨겨진 마을 사람들의 두 얼굴을 마주하게 되는데…",https://images.justwatch.com/poster/167511016/s592
슈렉,-2001,"['판타지 , 로맨스 , 애니메이션 , 코미디 , 가족']",1시간 30분,"Andrew Adamson ,  Vicky Jenson",87%,7.9 (650k),7.9,6500,"성 밖 늪지대에 사는 엄청나게 못생기고 무지무지 큰 괴물 슈렉. 지저분한 진흙으로 샤워를 즐기고 동화책은 화장실 휴지 삼아 쓰는 그는 혼자만의 시간을 즐긴다.  그러던 어느 날, 자신만의 고요한 안식처에 백설공주, 신데렐라, 빗자루를 타고 다니는 마녀, 피리부는 아저씨, 피터팬, 피노키오 등등.. 동화속의 주인공들이 모두 쳐들어온다. 그 중에서도 가장 귀찮은 건 쉴새없이 떠들어대는 당나귀 덩키. 알고보니 얼굴이 몸의 반을 차지하는 1m도 안되는 숏다리 파콰드영주가 동화속의 주인공들을 다 쫓아낸것. 결국 슈렉은 파콰드영주와 담판을 지으러 떠난다.  하지만 일은 이상하게 꼬여 결국 파콰드영주 대신 불뿜는 용의 성에 갇힌 피오나 공주를 구하러 떠나게 되는데..",https://images.justwatch.com/poster/244901875/s592
사냥의 시간,-2020,"['스릴러 , 범죄 , 드라마 , SF , 액션']",2시간 15분,Yoon Sung-hyun,75%,6.3 (5k),6.3,50,"희망 없는 도시, 감옥에서 출소한 준석은 가족 같은 친구들인 장호와 기훈 그리고 상수와 함께 무모한 작전을 계획한다. 새로운 인생을 향한 부푼 꿈도 잠시 이들을 뒤쫓는 정체불명의 추격자가 나타나면서 목숨마저 위협받게 된다. 서로가 세상의 전부인 네 친구들은 놈의 사냥에서 벗어날 수 있을까?",https://images.justwatch.com/poster/198762958/s592
미첼 가족과 기계 전쟁,-2021,"['코미디 , 가족 , SF , 애니메이션']",1시간 54분,Michael Rianda,87%,7.7 (88k),7.7,880,"자동차를 타고 국토를 횡단할까 했는데, 이게 무슨 날벼락. 로봇들이 세상을 점령하다니. 이제 이상하기로는 세계 최강, 미첼 가족이 나설 수밖에. 인류는 우리가 구한다. 어떻게든 되겠지!",https://images.justwatch.com/poster/244880645/s592
첨밀밀,-1996,"['드라마 , 로맨스']",1시간 58분,Peter Chan,84%,8.1 (5k),8.1,50,상해 토박이 여소군은 성공의 꿈을 안고 홍콩에 도착한다. 어리숙한 여소군(여명)은 같은 대륙 출신이지만 사리에 밝은 이요(장만옥)를 만난다. 이요는 꽃집과 맥도널드에서 악착 같이 모은 돈으로 노점상을 열지만 결국 실패하고 자신을 아끼던 폭력배 보스와 결혼한다. 여소군은 대륙의 여자 친구와 결혼하지만 이요를 사랑하는 자신을 발견하고 그녀와 헤어지고 미국으로 떠난다. 티격태격하면서 사랑으로 발전하지만 엇갈린 인연으로 함께 하지 못했던 이들은 가수 등려군의 사망 소식을 알리는 전자대리점 앞에서 운명처럼 다시 조우하는데...,https://images.justwatch.com/poster/11208328/s592
고령가 소년 살인 사건,-1991,"['범죄 , 로맨스 , 드라마']",3시간 57분,Edward Yang,90%,8.4 (9k),8.4,90,14살 소년 샤오쓰는 국어 성적이 나쁘다는 이유로 중학교 주간부에서 야간부로 반을 옮기게 되고 ‘소공원’파와 어울려 다닌다. 그러던 중 샤오쓰는 양호실에서 밍이라는 이름의 소녀를 만나게 된다. 소녀는 ‘소공원’파의 보스 허니의 여자로 허니는 샤오밍을 차지하기 위해 경쟁조직인 ‘217’파의 보스를 죽이고 은둔 중이다. 보스의 부재로 통제력을 상실한 ‘소공원’파는 보스 자리를 두고 혼란에 빠지고 돌연 허니가 돌아오게 되면서 ‘소공원’파 내부와 ‘217’파간의 대립이 격해진다. 그리고 밍을 사랑하게 된 샤오쓰도 이들의 싸움에 휘말리게 되는데…,https://images.justwatch.com/poster/35785571/s592
범죄해결 특수반,-2020,"['범죄 , 액션']",1시간 21분,LAPD,54%,1.0 (1),1,1,"경찰도 해결하지 못하는 미제 사건들을 의뢰 받고  직접 몸으로 나서 해결하는 전대미문의 ‘특수반’.  미성년자 성매매 사건을 일망 타진한 이들은  다음 임무인 ‘알고몰’ 사건을 의뢰 받고 수사를 진행한다.  늘 있는 미성년자 노동착취 사건들 중 하나로 생각했던 것도 잠시,  어두운 지하세계 그 끝에 거대한 배후가 있음을 알게 되는데…",https://images.justwatch.com/poster/183857795/s592
악마를 보았다,-2010,"['스릴러 , 공포 , 범죄 , 드라마 , 액션']",2시간 22분,Kim Jee-woon,85%,7.8 (123k),7.8,1230,"국정원 경호요원 수현은 약혼녀 주연이 잔인하게 살해당하자 자신에게 가장 소중한 사람을 지켜내지 못했다는 자괴감과 분노로 가장 고통스러운 복수를 다짐한다. 수현은 연쇄살인마 장경철이 범인임을 알아내고 죽을 만큼의 고통만 가하고 놓아주기를 반복하며 처절한 응징을 시작한다. 그러나, 악마보다 더 악랄한 살인마 장경철은 난생 처음 만난 대등한 적수의 출현을 즐기며 반격에 나서기 시작하는데…",https://images.justwatch.com/poster/178576341/s592
"나는 내일, 어제의 너와 만난다",-2016,"['로맨스 , 판타지 , 드라마']",1시간 51분,Takahiro Miki,82%,7.4 (4k),7.4,40,"스무 살의 ‘타카토시’는 지하철에서 우연히 만난 ‘에미’를 보고 순식간에 마음을 빼앗긴다. 운명 같은 끌림을 느낀 타카토시의 고백으로 두 사람은 연인이 되고, 매일 만나 행복한 데이트를 한다. 하지만, 왠지 종종 의미를 알 수 없는 눈물을 보이던 에미로부터 믿을 수 없는 비밀을 듣게 된 타카토시는 큰 혼란에 빠진다. 그 비밀은 바로 타카토시와 에미의 시간은 서로 반대로 흐르고 있고, 교차되는 시간 속에서 함께 할 수 있는 시간은 오직 30일뿐이라는 것. 30일 후에도, 이 사랑은 계속될 수 있을까?",https://images.justwatch.com/poster/35256727/s592
박하사탕,-2000,['드라마'],2시간 10분,Lee Chang-dong,82%,7.7 (8k),7.7,80,"1999년 봄, 마흔 살이 된 영호는 가리봉 봉우회 야유회에 허름한 행색으로 나타난다. 20년 전 첫사랑 순임과 소풍을 왔던 그 곳에서, 그는 아무도 끼워 주지 않는 틈을 비집고 들어가 광기어린 행동을 보인다.  직업도 가족도 모두 잃고, 삶의 막장에 다다른 영호는 철로 위에서 '나 다시 돌아갈래'라고 절규한다. 영호의 절규는 기차의 기적소리를 뚫고 시간을 거슬러 올라간다. 사흘 전 봄, 94년 여름, 87년 봄, 84년 가을, 80년 5월, 그리고 마지막 79년 가을. 마침내, 영호는 스무 살 첫사랑 순임을 만난다.",https://images.justwatch.com/poster/129366615/s592
나의 소녀시대,-2015,"['로맨스 , 코미디']",2시간 14분,Frankie Chen,81%,7.4 (5k),7.4,50,"돌아가고 싶은 리즈시절(?) 숨기고 싶은 흑역사(!) 1994년 대책 없이 용감했던 고딩시절, 유덕화 마누라가 꿈인 평범한 소녀 ‘린전신’과 학교를 주름잡는 비범한 소년 ‘쉬타이위’의 첫사랑 밀어주기 작전",https://images.justwatch.com/poster/14401801/s592
에이리언 2,-1986,"['스릴러 , 공포 , SF , 액션']",2시간 17분,James Cameron,89%,8.3 (690k),8.3,6900,"에일리언과의 싸움에서 간신히 살아남은 리플리는 잠든 채로 57년을 떠돌다 구조선에 의해 구출된다. 회사는 리플리를 비롯한 당시 승무원들이 노스트로모호를 잃어버린 것을 추궁하지만 에이리언 얘기는 믿지 않는다. 이때 지구와 한 혹성 거주민들의 통신이 두절되는 사건이 벌어지자 리플리는 고문 자격으로 해병대와 동행하게 된다. 혹성에 도착한 해병대원들은 곧 혹성 거주민들이 에일리언 유충의 산 먹이로 된 것을 목격하고, 곧이어 벌어진 교전에서 여러 대원들을 잃는다. 그들은 혹성 거주민들의 실험실로 대피하고, 리플리는 이곳에서 마지막 생존자인 뉴트를 발견하게 된다.",https://images.justwatch.com/poster/253114261/s592
이스케이프 플랜,-2013,"['액션 , 스릴러 , SF , 범죄']",1시간 55분,Mikael H?fstr?m,75%,6.7 (237k),6.7,2370,"“브레슬린은 그 어떤 감옥도 탈출 가능해!”  세계 최고 탈출 전문가와 가장 완벽한 감옥의 대결!  직접 감옥에 들어가 약점을 찾아내 탈출한 뒤, 탈출 불가능한 감옥으로 설계하는 최고의 탈출 전문가 ‘브레슬린’은 CIA로부터 비밀 사설 감옥의 테스트를 맡게 된다.  임무 수행 첫날 괴한의 공격을 당한 후 눈을 뜬 곳은 마스크로 얼굴을 가린 채 중무장한 교도관, 24시간 감시되는 유리로만 만들어진 수감방, 하늘도 땅도 외부의 모든 것이 차단된 첨단 감옥!  바로 자신이 설계한 완벽한 감옥에 갇힌 ‘브레슬린’은 곧 함정에 빠졌음을 알게 되고, 자신에게 접근해오는 ‘로트마이어’를 만나게 되는데...  탈출 확률 제로!  최강의 감옥 ‘툼’을 탈출하기 위한 불가능한 플랜이 시작된다!",https://images.justwatch.com/poster/18681611/s592
폭풍 속으로,-1991,"['스릴러 , 액션 , 범죄']",2시간 2분,Kathryn Bigelow,79%,7.3 (173k),7.3,1730,"자니 유타(키아누 리브스)는 전도 유망한 풋볼선수였지만 부상으로 은퇴한 뒤 FBI 수사관으로 변신한다. 은행 강도 전담반에 배속된 그는 캘리포니아 해안 도시를 무대로 발생하는 전직 대통령 가면을 한 은행털이단 사건을 수사하게 된다. 용의 선상에 있는 강도단의 보스 보디(패트릭 스웨이지)는 바다에 대한 외경심을 서핑을 통해 표현하고, 사회에 대한 불만을 해소하는 독특한 인물. 신분을 숨기고 강도단에 위장 잠입한 자니는 점차 보디에게 빠져든다. 한편 자니의 정체를 먼저 눈치챈 보디는 그의 연인을 인질로 잡고 자니에게 은행털이에 가담하도록 협박하는데...",https://images.justwatch.com/poster/74825809/s592
베스트 키드 2,-1986,"['드라마 , 로맨스 , 액션 , 가족 , 스포츠']",1시간 53분,John G. Avildsen,70%,6.1 (86k),6.1,860,전미학생 가라데 선수권 대회에서 우승한 다니엘(Daniel Larusso: 랄프 마치오 분)은 생활속에서 많은 변화를 겪게 된다. 사랑하던 애인은 프랑스로 유학을 가고 어머니는 연수받으러 LA로 간다. 그 때 사부 미야기(Miyagi: 팻 모리타 분)는 고향 일본 오사까로 부터 부친이 위독하다는 편지를 받게 된다. 그러자 외롭게 지내던 다니엘은 사부 미야기와 함께 일본으로 출발하는데 그곳에서 40여년간 원한의 칼날을 갈며 살아온 사또(Sato: 대니 카메코나 분) 일당이 엄청난 흉계를 꾸미고 그들을 기다리고 있었다.,https://images.justwatch.com/poster/199061281/s592
딥워터,-2020,"['스릴러 , 액션 , 드라마']",1시간 22분,Joachim Hed?n,72%,6.2 (4k),6.2,40,"어린시절 추억이 담긴 해안으로 겨울 다이빙을 떠난 이다와 투나. 아름다운 심해에서 스쿠버 다이빙을 즐기던 중, 갑작스러운 사고로 동생 투나가 수심 33미터 바다 아래에 갇히고 만다. 외부와 연락은 끊기고, 공기통 여분도 남지 않은 상황, 산소가 바닥나기 전에 동생을 살려야 한다!",https://images.justwatch.com/poster/193002164/s592
로스트 인 더스트,-2016,"['범죄 , 서부 , 드라마 , 스릴러 , 액션']",1시간 42분,David Mackenzie,82%,7.6 (220k),7.6,2200,"빚더미에 시달리던 두 형제, 토비(크리스 파인)과 태너(벤 포스터).  가족의 유일한 재산이자, 어머니의 유산인 농장의 소유권 마저 은행 차압위기에 놓이게 된다.  절망적인 현실에서 가족을 지키기 위해 연쇄 은행 강도 계획을 꾸미는 형제.  동생을 위해서라면 어떠한 일도 서슴지 않는 전과자 출신의 형 태너와 차분하고 이성적인 성격의 동생 토비는 범죄에 성공한다.  한편, 연달아 발생한 은행강도 사건을 수사하던 베테랑 형사 해밀턴(제프 브리지스)은 치밀한 범죄 수법을 본능적으로 직감하고 수사망을 좁혀 그들을 추격하기 시작하는데..""",https://images.justwatch.com/poster/183792591/s592
잠든 여인,-2021,"['스릴러 , 드라마 , 공포']",1시간 28분,"Matt Angel ,  Suzanne Coote",66%,5.3 (13k),5.3,130,"파혼과 실직으로 인해 불행한 나날을 보내며 방황하는 젠. 심리 상담사의 제안으로 최면 치료를 받고 인생의 주도권을 되찾지만, 뒤늦게 깨닫는다. 자신이 죽음의 올가미에 걸려들었다는 것을",https://images.justwatch.com/poster/254094864/s592
허리케인 하이스트,-2018,"['스릴러 , 액션 , 범죄']",1시간 43분,Rob Cohen,62%,5.1 (20k),5.1,200,"최악의 허리케인이 급습한 도시. 대피령이 내려진 텅 빈 도시에 미 연방 재무부 금고를 노리는 범죄 조직이 나타난다. 이들은 가장 안전한 지역인 태풍의 눈을 이용한 범죄 계획을 세운다. 한편, 범죄 조직에게 인질로 잡힌 형을 구해야 하는 천재 기상학자 ‘윌’과 금고 속에 남겨진 6,500억 원을 지켜야 하는 재무부 특수 요원 ‘케이시’는 돈과 생존을 둘러싼 사투를 시작하는데…",https://images.justwatch.com/poster/44299406/s592
레미제라블: 25주년 기념공연,-2010,"['음악 , 역사 , 드라마']",2시간 58분,Nick Morris,92%,8.8 (5k),8.8,50,"빵 한 조각을 훔친 죄로 19년의 감옥살이를 한 장발장. 전과자라는 이유만으로 모두의 박해를 받던 장발장은 우연히 만난 신부의 손길 아래 구원을 받고 새로운 삶을 결심한다. 정체를 숨기고 마들렌이라는 새 이름으로 가난한 이들을 도우며 지내던 장발장은 운명의 여인, 판틴과 마주치고, 죽음을 눈앞에 둔 판틴은 자신의 유일한 희망인 딸, 코제트를 장발장에게 부탁한다. 그러나 코제트를 만나기도 전에 경감 자베르는 장발장의 진짜 정체를 알아차리고, 오래된 누명으로 다시 체포된 장발장은 코제트를 찾아 탈옥을 감행하는데…",https://images.justwatch.com/poster/176750784/s592
수퍼 소닉,-2020,"['SF , 액션 , 코미디 , 범죄 , 가족']",1시간 39분,Jeff Fowler,79%,6.5 (114k),6.5,1140,"소리보다 빠른 초고속 고슴도치 히어로 '소닉'은 지구에 불시착한다. 그의 특별한 능력을 감지한 과학자 ‘닥터 로보트닉’은 세계 정복의 야욕을 채우려 하고, 경찰관 ‘톰’은 위험에 빠진 ‘소닉’을 돕기 위해 나서는데…! 과연, ‘소닉'은 천재 악당에 맞서 지구를 지킬 수 있을까?",https://images.justwatch.com/poster/164801412/s592
센과 치히로의 행방불명,-2001,"['판타지 , 가족 , 애니메이션']",2시간 5분,Hayao Miyazaki,94%,8.6 (716k),8.6,7160,평범한 열 살 짜리 소녀 치히로 식구는 이사 가던 중 길을 잘못 들어 낡은 터널을 지나가게 된다. 터널 저편엔 폐허가 된 놀이공원이 있었고 그곳엔 이상한 기운이 흘렀다. 인기척 하나 없는 이 마을의 낯선 분위기에 불길한 기운을 느낀 치히로는 부모님에게 돌아가자고 조르지만 부모님은 호기심에 들떠 마을 곳곳을 돌아다니기 시작한다. 어느 음식점에 도착한 치히로의 부모님은 그 곳에 차려진 음식들을 보고 즐거워하며 허겁지겁 먹어대다가 돼지로 변해버린다. 겁에 질려 당황하는 치히로에게 낯선 소년 하쿠가 나타나 빨리 이곳을 나가라고 소리치는데...,https://images.justwatch.com/poster/186959187/s592
마틸다,-1996,"['판타지 , 코미디 , 가족 , Made in Europe']",1시간 38분,Danny DeVito,78%,6.9 (143k),6.9,1430,"태어날때부터 남달리 깜찍하고 총명한 소녀 마틸다에게는 너무나 안 어울리는 가족이 있다. 중고차 매매업을 하는 아버지는 사기꾼에 가깝고, 어머니는 돈에만 관심있는 허영으로 똘똘 뭉친 여자다. 이들은 마틸다의 천재성을 발견하기는 커녕 그녀에게 바보같은 TV를 억지로 보게 하고 읽고 있는 책마저 빼앗아 던져버린다. 마틸다는 네살때부터 도서관을 찾아가 그곳에 있는 책을 닥치는대로 읽기 시작한다. 그녀는 책 속의 주인공과 벗하며 꽃이 만발하고 나무가 우거진 예쁜집에서 그네를 타며 사는 꿈을 꾼다.  6살이 되던 해 마틸다를 성가시다고 느낀 그녀의 아버지는 딸을 이상한 학교에 입학시킨다. 이 학교는 한마디로 공포 분위기. 왕년의 올림픽 투포환 선수였던 트런치불 교장은 아이들을 어둡고 좁은 방에 가두는가 하면, 공처럼 집어 던진다. 그러나 세상에는 밝은 면도 있는 법. 착하고 아이들을 진심으로 사랑하는 마틸다의 담임 선생님 미스 허니와 친구들 덕분에 마틸다는 학교 생활이 즐겁기만 하다. 어려운 수학 문제를 척척 푸는가 하면 가끔 초능력을 발휘해 교장을 골탕먹이기도 한다.  한편 허니는 불행한 과거가 있는데 그것은 바로 교장인 트런치불이 자신의 이모이고 그녀가 허니 아버지의 모든 재산과 학교마저 다 빼앗아 버린 것. 이제 마틸다는 친구들과 함께 아이들을 귀찮고 쓸모없는 존재로 취급하는 트런치불 교장 쫓아내기 작전을 세우는데...",https://images.justwatch.com/poster/174104597/s592
쥬라기 월드,-2015,"['스릴러 , 액션 , SF']",2시간 10분,Colin Trevorrow,77%,7.0 (600k),7,6000,"쥬라기 공원 사건에서 22년이 지난 후, 이슬라 누블라에서는 새로 열린 쥬라기 공원이 정상적으로 영업 중이다. 유전자 조작으로 탄생한 공룡들을 앞세운 쥬라기 월드는 지상 최대의 테마파크로 자리잡는다. 하지만 유전공학자들이 그 동안의 연구를 바탕으로 탄생시킨 새로운 유전자 조작 하이브리드 공룡들은 지능과 공격성을 끝없이 진화시키며 인간의 통제를 벗어날 조짐을 보인다. 한편 오랫동안 벨로시랩터를 연구해온 오웬 그래디(크리스 프랫)는 이런 시도에 반대하고, 그가 예상한 대로 이 하이브리드 공룡이 탈출하면서 공원은 아수라장이 되는데...",https://images.justwatch.com/poster/183493422/s592
반딧불이 딘딘과 용감한 곤충 탐험대,-2019,['애니메이션'],1시간 26분,Weifeng Deng,None,1.0 (1),1,1,"숲속 마을 친구들이 위험에 빠지면 언제나 나타나는 용감한 반딧불이 딘딘과 숲속 탐험대. 탐사 로봇 오로라가 우주에서 가져온 최첨단 신호등은 숲속 친구들 사이에서 인기 만발이다. 하지만 불빛을 위협 신호로 받아들이는 나방 부족 추장은 딘딘과 친구들을 공격하고, 외계 행성에서 나타난 붉은 로봇 군단이 숲속 마을 친구들을 모두 잡아가려 하는데… 과연 딘딘과 친구들은 무사할 수 있을까? 반딧불이 딘딘과 곤충 탐험대의 빛나는 모험이 시작된다!",https://images.justwatch.com/poster/240971763/s592
셰이프 오브 뮤직: 알렉상드르 데스플라,-2020,"['음악 , 다큐멘터리 , Made in Europe']",52min,None,24%,1.0 (1),1,1,"아카데미 음악상 수상작 ""그랜드 부다페스트 호텔""(2014), ""셰이프 오브 워터: 사랑의 모양""(2018), 그리고 ""진주 귀걸이를 한 소녀""(2004), ""탄생""(2004), ""더 퀸""(2007), ""벤자민 버튼의 시간은 거꾸로 간다""(2009), ""킹스 스피치""(2011), ""아르고""(2012), ""작은 아씨들""(2020) 등 우리가 사랑했던 영화들을 아름다운 선율로 완성, 순간을 영원으로 만드는 영화 음악의 거장 ‘알렉상드르 데스플라’! 웨스 앤더슨, 자크 오디아르, 조지 클루니 등과 함께 한 그의 음악과 영화, 사랑, 인생을 만난다!",https://images.justwatch.com/poster/194315956/s592
파이트 클럽,-1999,['드라마'],2시간 19분,David Fincher,94%,8.8 (1m),8.8,10000,"자동차 회사의 리콜 심사관으로 일하는 주인공(에드워드 노튼)은 일상의 무료함과 공허함 속에서 늘 새로운 탈출을 꿈꾼다. 그는 비행기에서 자신을 비누 제조업자라고 소개하는 타일러 더든(브래드 피트)을 만난다. 집에 돌아온 주인공은 아파트가 누군가에 의해 폭파되었음을 발견하고, 타일러에게 도움을 청해 함께 생활하게 된다. 어느 날 밤 타일러는 주인공에게 자신을 때려달라고 부탁한다. 사람은 싸워봐야 진정한 자신을 알 수 있다는 것이다. 결국 이들은 매주 토요일 밤 술집 지하에서 맨주먹으로 격투를 벌이는 파이트 클럽을 결성하기에 이르는데...",https://images.justwatch.com/poster/256601460/s592
그래비티,-2013,"['스릴러 , 음악 , 드라마 , 판타지 , SF , 액션']",1시간 31분,Alfonso Cuar?n,84%,8.1,8.1,1,"허블 우주 망원경을 수리하기 위해 우주를 탐사하던 라이언 스톤 박사는 폭파된 인공위성의 잔해와 부딪히면서 우주 공간에 홀로 남겨진다. 탑승했던 왕복선은 파괴됐고 산소는 희박해져간다. 홀로 남겨졌다는 공포가 그녀를 휘감아 가던 순간, 그녀의 앞에 베테랑 동료 우주비행사인 매트 코왈스키가 구세주처럼 나타난다. 인공위성의 잔해가 지구를 한 바퀴 돌아 다시 덮쳐오기까지 걸리는 시간은 단 90분. 그 전에 그들은 우주 왕복선과 가까이 있는 ISS로 이동해서 소유즈를 활용해 지구로 귀환하기로 하는데...",https://images.justwatch.com/poster/188379883/s592
패신저스,-2016,"['로맨스 , 드라마 , SF , 스릴러']",1시간 56분,Morten Tyldum,78%,7.0 (383k),7,3830,"120년 후의 개척 행성으로 떠나는 초호화 우주선 아발론 호.  여기엔 새로운 삶을 꿈꾸는 5,258명의 승객이 타고 있다.  그러나 알 수 없는 이유로 인해 짐 프레스턴(크리스 프랫)과 오로라 레인(제니퍼 로렌스)은  90년이나 일찍 동면 상태에서 깨어나게 된다.  서서히 서로를 의지하게 되는 두 사람은  우주선에 치명적인 결함이 있다는 사실을 발견하게 되고,  마침내 그들이 남들보다 먼저 깨어난 이유를 깨닫게 되는데…",https://images.justwatch.com/poster/8729820/s592
본 아이덴티티,-2002,"['스릴러 , 액션']",1시간 59분,Doug Liman,84%,7.9 (531k),7.9,5310,"이탈리아 어부들이 지중해 한 가운데에서 등에 두 발의 총상을 입은 채 표류하고 있는 한 남자를 구하게 된다. 그는 기억 상실증에 걸려 자신이 누구인지조차 모른다. 단서는 등에 입은 총상과 스위스 은행의 계좌번호 뿐.  자신의 존재를 찾아 스위스로 향한 그는 자신이 파리에서 제이슨 본이라는 이름으로 살았음을 알게 되지만, 여러 개의 가명으로 만들어진 여권을 보고 자신의 정체성을 잃게 된다. 경찰과 군인까지 그를 추적하고 있다는 사실을 알게 된 제이슨 본. 추격을 피해 도망가다 우연히 만나게 된 마리라는 여성에게 2만 달러라는 거금을 주고 파리까지 차를 얻어 타게 되는데...",https://images.justwatch.com/poster/187237529/s592
노예 12년,-2013,"['드라마 , 역사']",2시간 14분,Steve McQueen,87%,8.1 (664k),8.1,6640,"1840년대 미국에서는 노예 수입이 금지되자 흑인 납치 사건이 만연하게 된다. 미국내 자유주의 흑인을 납치해 노예주로 팔아 넘기는 것. 1841년 뉴욕. 아내 그리고 두 명의 아이와 함께 자유로운 삶을 누리던 음악가 솔로몬 노섭은 어느날 갑자기 납치되어 노예로 팔려간다. 그가 도착한 곳은 노예주 중에서도 악명 높은 루이지애나. 신분을 증명할 방법이 없는 그에게 노예 신분과 플랫이라는 새 이름이 주어지고, 12년의 시간 동안 두 명의 주인 윌리엄 포드, 에드윈 엡스를 만나게 되는데...",https://images.justwatch.com/poster/256543447/s592
신들의 봉우리,-2021,"['액션 , 스릴러 , 애니메이션 , 드라마 , 스포츠 , 역사']",1시간 35분,Patrick Imbert,84%,7.5 (3k),7.5,30,"에베레스트를 처음 정복한 것은 누구인가? 실종된 위대한 산악인과 그가 남긴 진실을 찾아, 한 사진기자의 집요한 추적이 시작된다.",https://images.justwatch.com/poster/254022043/s592
