title_kor,year,genre_list,play_time,director,justwatch_rating,imdb_rating,imdb_rating_average,imdb_vote_count,synopsis,poster_src
미스 슬로운,-2016,"['스릴러 , 드라마 , Made in Europe']",2시간 12분,John Madden,82%,7.5 (71k),7.5,710,"승률 100%를 자랑하는 최고의 로비스트 슬로운. 총기 규제 법안으로 온 나라가 떠들썩한 가운데, 자신의 신념에 따라 모두가 포기한 싸움에 뛰어들게 된다. 승리를 위해서라면 수단과 방법을 가리지 않는 슬로운은 뛰어난 전략으로 한 번도 굴복한 적 없는 거대 권력에 맞서지만, 동시에 자신과 주변 사람 모두를 위험에 빠트리게 되는데…",https://images.justwatch.com/poster/8723487/s592
빅 쇼트,-2015,"['드라마 , 코미디 , 역사']",2시간 11분,Adam McKay,83%,7.8 (406k),7.8,4060,"사회성이라곤 없는 캐피털 회사 대표 마이클 버리는 금융시장의 붕괴를 예측하고, 골드만삭스를 찾아가 부동산 폭락에 돈을 걸겠다고 말해 비웃음을 산다. 도이치뱅크의 트레이더인 자레드 베넷은 대형 은행들이 안전자산이라 홍보한 부채담보부증권의 부실을 파악하고 내부 정보를 투자자들에게 흘린다. 펀드매니저 마크 바움은 자레드에게서 제공받은 정보로 대형 은행과 반대되는 투자를 감행한다. 은퇴 뒤 은둔 중인 전직 트레이더 벤 리커트는 눈밝고 대담한 젊은 펀드매니저 찰리와 제이미를 돕는다.",https://images.justwatch.com/poster/186356561/s592
공각기동대,-1995,"['SF , 드라마 , 스릴러 , 애니메이션 , 액션 , 범죄']",1시간 23분,Mamoru Oshii,88%,8.0 (135k),8,1350,"때는 서기 2029년, 아시아의 뉴포트라는 도시. 인간의 뇌도 통신 네트워크의 일부가 된 사회에서 가장 극악한 범죄는 고스트 해킹이다. 인간의 정체성을 규명하는 광의의 영혼을 뜻하는 고스트를 해킹해 타인의 기억 등을 조작하고 변경시키는 것. 인형사라 불리는 정체불명의 악명 높은 고스트 해커가 유럽에서 뉴포트로 주활동 무대를 옮겼다는 소식이 들린다. 이를 막기 위해 외교상 일어나는 국제범죄, 테러 등에 대해 정보수집과 감사를 행하는 정보기관 공안 6과와 쿠사나기 모토코 소령을 중심으로 한 공안 9과는 조사에 나선다",https://images.justwatch.com/poster/248296065/s592
팬텀 스레드,-2017,"['드라마 , 로맨스']",2시간 10분,Paul Thomas Anderson,81%,7.5 (124k),7.5,1240,"웨딩드레스 디자이너 레이놀즈는 머리를 식히러 시골로 향하던 중 어느 식당에서 알마를 발견한다. 그녀가 자신이 꿈꿔온 완벽한 뮤즈임을 직감한 레이놀즈는 식당 웨이트리스로 일하던 알마를 자신의 거처로 데려온다. 행복도 잠시, 알마는 레이놀즈의 세계에 적응하지 못한다. 어린 시절부터 동고동락한 누이 시릴은 레이놀즈의 장단에 기꺼이 발을 맞추는 훌륭한 조력자지만, 알마는 그의 패턴에 자신을 맞출 생각이 없다. 부주의하며 느슨한 알마의 태도에 레이놀즈는 점점 싫증을 내는데...",https://images.justwatch.com/poster/252654821/s592
폭포,-2021,['드라마'],2시간 9분,Chung Mong-Hong,74%,7.3,7.3,1,"싱글 워킹맘 핀웬은 사춘기의 딸 샤오징과 함께 사는 능력 있는 커리어 우먼이다. 회사 사정의 악화로 월급이 삭감되었다는 통보를 받은 날 핀웬은 회의 도중 샤오징으로부터 전화를 받는다. 반 친구가 코로나 확진이 되면서 샤오징도 자가격리를 해야 하는 상황이 되자, 핀웬은 회사의 권유로 샤오징과 집에 머물게된다. 원래 사이 좋은 모녀는 아니었지만, 그날 이후 샤오징의 적대감이 지나치게 심해지고 이상행동이 계속된다. 결국 핀웬은 전 남편 치웬에게 도움을 청한다. (제26회 부산국제영화제)",https://images.justwatch.com/poster/251616914/s592
이것은 코미디가 아니다,-2021,"['드라마 , 코미디']",1시간 45분,"Gabriel Nuncio ,  Rodrigo Guardiola",60%,4.8,4.8,1,"절친은 정자를 기증해달라고 부탁하고, 여친은 외계인이랑 교신하고. 인생의 전환점에서 혼란에 빠진 코미디언. 삶의 의미를 찾아 기나긴 여정을 시작한다.",https://images.justwatch.com/poster/259380590/s592
돈 룩 업,-2021,"['SF , 코미디 , 드라마']",2시간 23분,Adam McKay,83%,7.2 (408k),7.2,4080,"천문학과 대학원생 케이트 디비아스키(제니퍼 로렌스)와 담당 교수 랜들 민디 박사(레오나르도 디카프리오)는 태양계 내의 궤도를 돌고 있는 혜성이 지구와 직접 충돌하는 궤도에 들어섰다는 엄청난 사실을 발견한다. 하지만 지구를 파괴할 에베레스트 크기의 혜성이 다가온다는 불편한 소식에 아무도 신경 쓰지 않는다. 지구를 멸망으로 이끌지도 모르는 소식을 사람들에게 알리기 위해 언론 투어에 나선 두 사람, 혜성 충돌에 무관심한 대통령 올리언(메릴 스트립)과 그녀의 아들이자 비서실장 제이슨(조나 힐)의 집무실을 시작으로 브리(케이트 블란쳇)와 잭(타일러 페리)이 진행하는 인기 프로그램 출연까지 이어가지만 성과가 없다. 혜성 충돌까지 남은 시간은 단 6개월, 24시간 내내 뉴스와 정보는 쏟아지고 사람들은 소셜미디어에 푹 빠져있는 시대이지만 정작 이 중요한 뉴스는 대중의 주의를 끌지 못하는데...",https://images.justwatch.com/poster/256216944/s592
해적: 바다로 간 산적,-2014,"['드라마 , 판타지 , 액션 , 코미디']",2시간 10분,Lee Suk-hoon,75%,6.6 (3k),6.6,30,"전대미문 국새 강탈 사건으로 조정은 혼란에 빠지고, 이를 찾기 위해 조선의 난다긴다 하는 무리들이 바다로 모여든다. 바다를 호령하다 졸지에 국새 도둑으로 몰린 위기의 해적, 고래는커녕 바다도 처음이지만 의기양양 고래사냥에 나선 산적, 건국을 코앞에 두고 발등에 불이 떨어진 개국세력까지! 국새를 차지하는 자, 천하를 얻을 것이다!",https://images.justwatch.com/poster/178476628/s592
아만들라,-2022,"['드라마 , 범죄']",1시간 46분,Nerina de Jager,65%,5.7,5.7,1,어린 시절의 비극에서 함께 살아남은 두 형제. 폭력 조직이 얽힌 사건을 둘러싸고 경찰과 범죄자로 마주한다. 피붙이의 의리는 그렇게 시험대에 오르는데...,https://images.justwatch.com/poster/262233790/s592
타오르는 여인의 초상,-2019,"['드라마 , 로맨스 , 역사 , Made in Europe']",1시간 59분,C?line Sciamma,89%,8.1 (82k),8.1,820,"1770년, 젊은 화가 마리안느는 밀라노 귀족과 결혼을 앞둔 여인 엘로이즈의 초상화를 그려달라는 백작 부인의 의뢰를 받고 엘로이즈가 머무는 외딴섬의 영지에서 며칠간 머물게 된다. 마리안느는 엘로이즈가 초상화 그리는 걸 싫어한다는 이유 때문에 화가라는 신분을 숨기고 접근한다. 마리안느는 엘로이즈의 이목구비를 눈에 담기 위해 매일 산책에 동행하면서 그녀가 지닌 아픔을 어루만져주고 친분도 쌓는다. 어쨌든 그녀는 엘로이즈의 결혼을 종용하는 도구로 사용될 초상화 완성에 매진해야 한다.",https://images.justwatch.com/poster/162217728/s592
